id,username,full_text,created_at,tweet_url
876,n0one04431846,@secretsqrl123 @MarinaMedvin Free Palestine has been going on for ages but recently I found out what it really means. It means Genocide of anyone inside israel and taking control of its territory. They don't want the end of Hamas. even Palestinians living abroad don't condemn Hamas...,Tue Oct 24 15:08:27 +0000 2023,https://twitter.com/n0one04431846/status/1716834040194494879
882,TheLoKoLoCo,@SkyNews Sure they are!! They are stopping them getting out! Like they are not allowing the aid trucks in ! And they are cutting of there own water supply and electricity! The devil and not even in disguise! Not only is he bad fit Palestine. he actually bad for Israel. they are blind!,Tue Oct 24 15:08:24 +0000 2023,https://twitter.com/TheLoKoLoCo/status/1716834030174535832
883,ZTLFIRE,@ShuForCongress You guys are on her case for standing with Palestine when none of you would say a word to her if she were a conservative standing with Israel. You're all a bunch of chumps.,Tue Oct 24 15:08:23 +0000 2023,https://twitter.com/ZTLFIRE/status/1716834025741181162
884,halezonist,@IgorUlitsky Palestinians wants their freedom back. we all want to end the occupation in Palestine so that we can worry about kids. Because right now kids are brutally dying in an attempt of genocide to Palestinians,Tue Oct 24 15:08:23 +0000 2023,https://twitter.com/halezonist/status/1716834025141096784
889,razzkedazxls,@jeansmcrts @changemyreality @paintdat0wnred @PopBase Strawmanning.  no one said that Israel holding innocent people hostage is okay. Also if you support Hamas. you’re supporting a  terrorist organization. Hamas is not Palestine. and Palestine is not Hamas.,Tue Oct 24 15:08:21 +0000 2023,https://twitter.com/razzkedazxls/status/1716834016865992743
891,Mariosnek_,@idk_600z @AsadAliRamay @Israel I am not disagreeing with that. just commenting on the fact that every time people mention the British mandate in this context. they leave out the of Palestine part.,Tue Oct 24 15:08:21 +0000 2023,https://twitter.com/Mariosnek_/status/1716834014991134854
900,BrianMu85502667,@POTUS Right to defend does not mean right to break international law. It does not mean right to target civilians and does not mean right to apartheid and ethnic cleansing. Israel / Palestine is not American business. Stay out of it .,Tue Oct 24 15:08:18 +0000 2023,https://twitter.com/BrianMu85502667/status/1716834002567672306
904,Said62176498,@piersmorgan There is no proportion  Isreal is occuper and conquer for Palestine landbut Hamas is the Palestinians themselves.  So Israel has no rights at all.  Your point of view is corresponding is isreal is a country.but Palestine is the country.,Tue Oct 24 15:08:17 +0000 2023,https://twitter.com/Said62176498/status/1716833999090516167
907,NunyaBu32850051,A terrorist who admitted that he had clear orders to kill women and children and even rape the bodies of the dead. THIS IS WHAT PRO PALESTINE MEANS. SICK. IDF shares harrowing videos. photos of Hamas attack: 'It's things a person doesn't do'  https://t.co/wtVcHBT3Uj via @nypost,Tue Oct 24 15:08:16 +0000 2023,https://twitter.com/NunyaBu32850051/status/1716833995034701927
910,MarielleEvans19,@RBlockMD @MustafaBarghou1 @RIDICULO_pathy Innocent civilians in Israel and Palestine are not to blame. And NO CHILD IS TO BLAME.,Tue Oct 24 15:08:15 +0000 2023,https://twitter.com/MarielleEvans19/status/1716833991603720667
